model,category_entropy_bucket,num_users,recall@20,ndcg@20,mrr@20
SASRec,high,1107,0.0,0.0,0.0
SASRec,low,408,0.0,0.0,0.0
SASRec,mid,166,0.006024096385542169,0.001680379190669457,0.000547645125958379
SASRec + metadata,high,1107,0.0,0.0,0.0
SASRec + metadata,low,408,0.004901960784313725,0.0018878386137924504,0.0010212418300653593
SASRec + metadata,mid,166,0.0,0.0,0.0
DIF-SR,high,1107,0.008130081300813009,0.0026758698950749104,0.0012054767474821678
DIF-SR,low,408,0.0024509803921568627,0.000662348417714019,0.00020424836601307187
DIF-SR,mid,166,0.018072289156626505,0.004614509914489558,0.0012866592420100569
DIF-SR + metadata,high,1107,0.006323396567299007,0.002003460585804611,0.0008849655490018953
DIF-SR + metadata,low,408,0.012254901960784314,0.0037287910634014043,0.0014820021145713186
DIF-SR + metadata,mid,166,0.012048192771084338,0.009824878033562997,0.009036144578313253
