source_user_id,category_entropy_bucket,pair,overlap
000ed4cabda96069b547ae531c66de5f1bf6a7e5b83aa8ecc5abe84a9f6779e0,high,SASRec vs DIF-SR,0.02
00c9f6f40dc03f18f71b867fa2e10a07d619388e9b3a46495f088bc33a1352aa,high,SASRec vs DIF-SR,0.0
01179a3b2c4f0a9d447b44a6d0e3bd6ba79ac85f1f40de787bc6efbcbd16b381,high,SASRec vs DIF-SR,0.0
01273232851b227cceeb9ed23010b6177f612d4e04eb6327bf7c64d48293c49f,low,SASRec vs DIF-SR,0.03
012770f5d1dd15089e4cb91af08d97abf7ec4310658b99e8e7f07a70cf5dc9a3,high,SASRec vs DIF-SR,0.01
012a7c2d894459d7f373fa40f75688cc42d09b08a697f1dd3c2a7384a357de26,low,SASRec vs DIF-SR,0.02
01343722529be320bc0955acc1b7c40322e5f801c6b8e035070037ed3e64d779,high,SASRec vs DIF-SR,0.01
0157bc81c84ced5900d22c114d31ddd0803f2958798e1028a02c6472fb381c65,mid,SASRec vs DIF-SR,0.01
0169c4acf7a665c7a0ca37e528cf7d7d2070dde858c54e34a7f72d41a02cea99,high,SASRec vs DIF-SR,0.01
023fda69e6631e84847286e4bd42f0169b524f5ddeabc6c360b08c97acb029f3,low,SASRec vs DIF-SR,0.01
0275c5831431230cc7fb99edb787eb53242310eaa485dcf94688b4cfb99e1e79,low,SASRec vs DIF-SR,0.01
027770db8a1fb3ac5b683c936072235bef263bbae1669a55d11c949171c8ead4,high,SASRec vs DIF-SR,0.01
02839cef3635aa04f7363a78aab7c7d8090bbfe0bcfa7c423f6d29570969e312,low,SASRec vs DIF-SR,0.01
02974a4a21a7ea758cdc0df7ab46d2c3d42ba13cdaab43099fcff251eaf17e72,high,SASRec vs DIF-SR,0.01
02c091f227b7393ef8f92d7a18b2d797827953ace509307284834ba93b3e325e,high,SASRec vs DIF-SR,0.01
02d7a543a9f26d506cc294303b27128e6963cf1a05dc8441f4fb51c39dfdba60,mid,SASRec vs DIF-SR,0.01
02fe56d0f27ba48ba557f764a5175dbeea16ae8bfbc97a5baad746d3eead2bc1,high,SASRec vs DIF-SR,0.03
037ebdffdf41e9f1984f0e553529092aef77fc695b8f94c94feb580e4fb81db5,high,SASRec vs DIF-SR,0.01
037ec5bb01a1ea87eb873699dc40aac3b4e2bb2ba50a4c0a9b3594aec4a62d6c,high,SASRec vs DIF-SR,0.01
03927c7f044eba75a0e04573cc12a1d0ba0da1f6738dba0b403cfa97068ad1b1,high,SASRec vs DIF-SR,0.0
039f5f60820b29ed3ce7ec57c9f79742e7dbdf60f5ee4d223db8c439dbc3e06f,high,SASRec vs DIF-SR,0.0
040813488701e0683e01453ced4117ce10c96d4df11c206e6d4539836299122c,high,SASRec vs DIF-SR,0.01
044b25696ebaa116ddef73171920f487b019d3453c55777a7d1ef0723e5bfe30,mid,SASRec vs DIF-SR,0.0
04573d1d88236664b9c68bd2e4e163467b53bea966bbd415edc4148ce72b9639,high,SASRec vs DIF-SR,0.01
0467a065f2cfcbee353a71ee73190dde1b5cd808168d3e5bc35980d3a36cfec9,high,SASRec vs DIF-SR,0.01
047918d0e7cd7def1bd1def7f8e4014d6d169530478867f759ebb55fc3a9cbfe,high,SASRec vs DIF-SR,0.01
04caa77ffab86f64c01978d5676f9f9f39d03a4669c3158dfbb9723fcab52c78,mid,SASRec vs DIF-SR,0.0
04df96afecff8e40ef3047943341110aa65add2cb954b718a8d73b4eeb6d011f,high,SASRec vs DIF-SR,0.01
04e61f0b6194c13568dbb007b348d90b9677b593d126f2e9621892827e69be87,high,SASRec vs DIF-SR,0.01
0508a3891be0e6d1f6d4ade41f1715041308231faa306b13a1ce8f38e94f42b2,low,SASRec vs DIF-SR,0.0
053f21581926914fceeec8d646894d16d40768fd921332edd903b52c2aec3983,low,SASRec vs DIF-SR,0.0
05492b4e162d5cb0b2e9e2705d65bd27f111936e3ddc1ef3eff125a18c731966,high,SASRec vs DIF-SR,0.01
054c47d740eb5aca4a5f002b3c1b96353d916de120d4a34fd91a5163a5fec4ff,low,SASRec vs DIF-SR,0.01
056bedc7874976ccdef53d6d8ba5beae70279e457675f41b4f61e085ec16de17,mid,SASRec vs DIF-SR,0.01
05765567dc6cc52565c6ceb44af43c5c73cf7140c5c5179c1bd37a612bcadea6,low,SASRec vs DIF-SR,0.01
0591afdeee2fda5a444276058e0d8bf8acd05b7e90f64cb595bf58f03f1b374d,mid,SASRec vs DIF-SR,0.01
061aacb4565b426cb36d21ad95e8ae4d2b5113f3cd065ee617270c410735a633,low,SASRec vs DIF-SR,0.01
064dcafa17065ca67883e9a00a8bf2b6c1a5ab93e7f4bf48383eed56c4d25b09,low,SASRec vs DIF-SR,0.01
068836488a499a796d05deb1aa6d26c17e664ef96a8ffe4cdccb071f28cf5133,low,SASRec vs DIF-SR,0.01
06889e1654176a4ca17ca3bc06a462fef3bfc0a08d2f2054781e6c23be4490f1,high,SASRec vs DIF-SR,0.0
0696c2462bcc9d32c80a3843f84ee7c74caa28caaaabab9584b60cdf826a616e,high,SASRec vs DIF-SR,0.01
06ac1509c715ae50ef28b4b004971ef6c900e53ec3eefc12503e6d0ffa2e4cc8,high,SASRec vs DIF-SR,0.01
073962b70640160b965302a22f5efff55b29249faca3ca991b044bfcd170cd40,high,SASRec vs DIF-SR,0.01
074ff411a5b03f1c96bd8b8a65c4da76919ec401c22523182e5ce59f5a2ff023,high,SASRec vs DIF-SR,0.02
075e8fdf8ed849d04c3ba8643ea3292051ab94eb56b9c02026cff199ff04e313,high,SASRec vs DIF-SR,0.01
0769cd19bd40c71134005dfcf6d59446f20138a066143c029ad819d170485ef5,high,SASRec vs DIF-SR,0.0
07711ea44805c2ae64fa3a7084ee1419a3176e3fd0313623ac34b6425c5dd405,low,SASRec vs DIF-SR,0.02
07abfc2bae2d720fac6dcbf505941b9ef0afa754f9155cbe7f70c92f44e03541,low,SASRec vs DIF-SR,0.01
0827c1892191d01b5a1815a0df4c82cd92d6a9274244696fe9fa08dc166f9546,high,SASRec vs DIF-SR,0.03
0880e833bc47d99acd5c7e38af42567820a28411e9dee00210f935a587b64f3a,high,SASRec vs DIF-SR,0.01
089aa55b1d13f85c302ca0ac0a09cfa55bfdd030fcae02cc3ed34a2332267232,high,SASRec vs DIF-SR,0.01
08bc2e8112d12bcaa7f106b7f8650f892016e1ba51552773c8c0be25d007d2d4,mid,SASRec vs DIF-SR,0.01
08d9e901566cc6c178118acb035686c37251942329455164e6484ff7b5f47606,high,SASRec vs DIF-SR,0.02
0984b4eb6894b34d6061b14c3d9836c55720626e4c8aadce43c8a67ff311b9b2,high,SASRec vs DIF-SR,0.01
099a0dc3d31d20b3fa3b39fcd2bd134932fd193a655320d9769c6e249a30b616,high,SASRec vs DIF-SR,0.01
09bc44d2b1e230e3459b766fe4190a26b55ba5d85c1236ad4da07260b51336f9,high,SASRec vs DIF-SR,0.01
0a1064772faf108ecb90fe56b9b7384406e191bc870afbee0d3627998a015210,high,SASRec vs DIF-SR,0.02
0a32916968a8893bd702eb1b5322ba51352df95f894db79b87bb92995a6a3e12,high,SASRec vs DIF-SR,0.01
0a35267c3bfdb5c2f21e7152881a0879a982bb7e72a506162e7f7b310c6e5413,high,SASRec vs DIF-SR,0.01
0a660c6d0e77d5c61b5b01f828ab6a8f5a478172c49fa0560a78a281583e2aba,high,SASRec vs DIF-SR,0.02
0ab9088016c08efd38934059fc17731cad592330237a3d1a432bdae29a427b67,low,SASRec vs DIF-SR,0.0
0ac7a980793e983213d22e8f2b0ad2e7e807dab0884d9bccf1f5fb652ef511ac,high,SASRec vs DIF-SR,0.01
0ad7c1637c84689cc1f3437db8187ac14431f4a9344f4dceeb064abfa83507be,high,SASRec vs DIF-SR,0.0
0b02a4ff787279bdf68aa12836630260d42890f43f061a3991416dac97443e08,low,SASRec vs DIF-SR,0.0
0b4664624f1ac87836c93e746b56734cefeec29f3dfe0641d849464bcde5fc98,high,SASRec vs DIF-SR,0.01
0b865fa2fdf640adc7ceac33bf16889c597af3b0a46f92b101a57f1b718f180d,mid,SASRec vs DIF-SR,0.0
0b940cc60cad617de9d7ac2726e61b7b1c946c5cbb6008cdfbf36ee70b8004d3,low,SASRec vs DIF-SR,0.0
0bbd6877ce2aa59c69c173fb385ae7de3a3661c349d77209252d67af76579d84,high,SASRec vs DIF-SR,0.01
0bc1fbd81883812acedf2dc3522bc905803faef99decf858d53ad80132e649ab,low,SASRec vs DIF-SR,0.01
0bc335a191a8a1adba913cc96ae7018d65a667bae32968ae4022aa3956d405d6,low,SASRec vs DIF-SR,0.01
0bd4d9b53a7a5d37684ba0ca18633647f5e5111b0ea60e422edfd28c8b036c21,high,SASRec vs DIF-SR,0.0
0be46dad9b12b32150495bde23d0c4b759e469d97bc2b1519dea000f520f1407,mid,SASRec vs DIF-SR,0.0
