slice,model,users,recall20,ndcg20,mrr20,history_len,transitions,switch_rate
high-entropy,Corrected SASRec,1107,0.014453477868112014,0.004711021916453792,0.0020596093552875754,15.947606142728095,6.288166214995483,0.8619900775727334
high-entropy,DIF-SR,1107,0.008130081300813009,0.0026758698950749104,0.0012054767474821678,15.947606142728095,6.288166214995483,0.8619900775727334
high-entropy,DIF-SR + Metadata,1107,0.006323396567299007,0.002003460585804611,0.0008849655490018952,15.947606142728095,6.288166214995483,0.8619900775727334
high-entropy,TopPopular,1107,0.022583559168925023,0.007549791278639738,0.0036018727758388965,15.947606142728095,6.288166214995483,0.8619900775727334
switch-heavy,Corrected SASRec,941,0.015940488841657812,0.005010734603097075,0.002068707994654636,18.16790648246546,6.970244420828905,0.8614982372686942
switch-heavy,DIF-SR,941,0.007438894792773645,0.0021902444908067464,0.0007982246823904635,18.16790648246546,6.970244420828905,0.8614982372686942
switch-heavy,DIF-SR + Metadata,941,0.006376195536663124,0.0021020386842907257,0.0009785688983351046,18.16790648246546,6.970244420828905,0.8614982372686942
switch-heavy,TopPopular,941,0.018065887353878853,0.0065950972556697955,0.0035092528622565505,18.16790648246546,6.970244420828905,0.8614982372686942
high-entropy & short<=5,Corrected SASRec,58,0.017241379310344827,0.008620689655172414,0.005747126436781609,3.4655172413793105,2.3620689655172415,0.9655172413793104
high-entropy & short<=5,DIF-SR,58,0.017241379310344827,0.010878099199507888,0.008620689655172414,3.4655172413793105,2.3620689655172415,0.9655172413793104
high-entropy & short<=5,DIF-SR + Metadata,58,0.017241379310344827,0.004134697699450542,0.0010141987829614604,3.4655172413793105,2.3620689655172415,0.9655172413793104
high-entropy & short<=5,TopPopular,200,0.045,0.01209866335274953,0.0038265916015529015,4.115,2.875,0.93
high-entropy & mid6-15,Corrected SASRec,508,0.01968503937007874,0.006510719910470271,0.002909575746811553,7.708661417322834,5.307086614173229,0.8588543619547556
high-entropy & mid6-15,DIF-SR,508,0.00984251968503937,0.002883392416981808,0.0010466239796948459,7.708661417322834,5.307086614173229,0.8588543619547556
high-entropy & mid6-15,DIF-SR + Metadata,508,0.003937007874015748,0.0010171950295567733,0.00029527559055118115,7.708661417322834,5.307086614173229,0.8588543619547556
high-entropy & mid6-15,TopPopular,491,0.020366598778004074,0.007700828754546362,0.004310385513212876,9.94908350305499,6.486761710794298,0.8402369637603853
high-entropy & long>15,Corrected SASRec,541,0.009242144177449169,0.002601951103503604,0.0008661547940660695,25.02218114602588,7.630314232902033,0.8538354898336414
high-entropy & long>15,DIF-SR,541,0.005545286506469501,0.0016016541080401292,0.0005596631751899774,25.02218114602588,7.630314232902033,0.8538354898336414
high-entropy & long>15,DIF-SR + Metadata,541,0.0073937153419593345,0.002701078238267527,0.00142483056069008,25.02218114602588,7.630314232902033,0.8538354898336414
high-entropy & long>15,TopPopular,416,0.014423076923076924,0.005184565760629856,0.00265758547008547,28.716346153846153,7.694711538461538,0.8549679487179488
