model,slice,num_users,recall@20,ndcg@20,mean_unique_category_count,mean_category_entropy,tail_share
SASRec,short_history,483,0.0,0.0,15.594202898550725,2.7179990748484775,0.48592132505175983
SASRec + metadata,short_history,483,0.004140786749482402,0.001594695971899213,15.683229813664596,2.720557566606437,0.4634575569358178
DIF-SR,short_history,483,0.006211180124223602,0.0024252713507786684,16.25465838509317,2.726282321472787,0.13902691511387164
DIF-SR + metadata,short_history,483,0.012422360248447204,0.00522017961463307,4.722567287784679,0.9813811340371185,0.11677018633540374
SASRec,low_entropy,408,0.0,0.0,15.654411764705882,2.72195341522985,0.48517156862745103
SASRec,mid_entropy,166,0.006024096385542169,0.001680379190669457,15.506024096385541,2.7140353020404784,0.47319277108433744
SASRec,high_entropy,1107,0.0,0.0,15.579945799457995,2.7153332482915795,0.47321589882565485
SASRec + metadata,low_entropy,408,0.004901960784313725,0.0018878386137924504,15.563725490196079,2.7125526084767078,0.4667892156862746
SASRec + metadata,mid_entropy,166,0.0,0.0,15.885542168674698,2.7345283844618917,0.45240963855421684
SASRec + metadata,high_entropy,1107,0.0,0.0,15.808491418247517,2.7293401739498595,0.453929539295393
DIF-SR,low_entropy,408,0.0024509803921568627,0.000662348417714019,16.208333333333332,2.7221964323593877,0.14080882352941176
DIF-SR,mid_entropy,166,0.018072289156626505,0.004614509914489558,16.30722891566265,2.7291556896390725,0.1316265060240964
DIF-SR,high_entropy,1107,0.008130081300813009,0.0026758698950749104,16.149051490514903,2.7132775792668107,0.11187895212285456
DIF-SR + metadata,low_entropy,408,0.012254901960784314,0.0037287910634014043,4.615196078431373,0.9520125358614049,0.12475490196078433
DIF-SR + metadata,mid_entropy,166,0.012048192771084338,0.009824878033562997,4.831325301204819,1.00826634469825,0.10662650602409639
DIF-SR + metadata,high_entropy,1107,0.006323396567299007,0.002003460585804611,5.510388437217705,1.1724380002932429,0.10216802168021681
